,isHomeTeam,LineBackers,Safeties,Quarter,PlayerHeightInches,StadiumTypeCode,TurfCode,OffensiveGuards,DefensiveEnds,Y,S,DefensiveTackles,Age,IsPossTeamInLead,Down,TimeSnapDiff,YardsToTouchdown,A,TightEnds,DefendersInTheBox,Cornerbacks,isPlayDirectionLeft,Distance,NoseTackles,Season,HomeScoreBeforePlay,isFirstDown,Centers
28,0,3,2,3,71,1,2,1,1,27.25,4.41,3,22,0,1,1.0,86,0.99,1,8,2,1,10,0,2017,17,0,1
29,1,3,2,3,71,1,2,2,2,27.63,4.17,2,26,1,1,1.0,1,0.9,2,10,1,0,1,1,2017,17,0,1
30,1,3,2,3,71,1,2,2,2,22.44,4.77,2,26,1,2,1.0,1,2.83,2,9,1,0,1,1,2017,17,1,1
31,0,2,3,3,71,1,2,1,1,30.67,1.96,2,22,1,2,1.0,89,3.33,1,7,3,1,12,0,2017,24,0,1
32,1,1,3,3,70,1,2,2,3,33.96,5.29,1,25,0,1,2.0,18,2.46,1,7,3,0,10,0,2017,24,0,1
33,1,1,3,3,70,1,2,2,3,29.1,3.82,1,25,0,2,1.0,11,1.88,1,7,3,0,3,0,2017,24,1,1
34,1,1,2,3,70,1,2,2,3,34.85,5.86,2,25,0,2,2.0,4,3.24,1,8,3,0,4,0,2017,24,0,1
35,0,2,4,3,71,1,2,1,1,26.41,3.92,2,22,1,1,1.0,95,2.61,2,7,2,1,15,0,2017,27,0,1
36,1,3,2,4,71,1,2,2,2,31.15,3.85,2,26,1,4,1.0,40,1.14,2,10,1,1,1,1,2017,27,0,1
37,1,1,4,4,70,1,2,2,2,31.12,3.88,1,27,1,1,2.0,87,1.54,2,8,2,1,10,1,2017,27,0,1
38,1,1,4,4,70,1,2,2,2,24.25,6.42,1,27,1,2,1.0,85,1.23,2,7,2,1,8,1,2017,27,1,1
39,0,2,3,4,71,1,2,1,1,26.0,3.22,3,22,0,2,2.0,51,2.07,2,7,2,0,1,0,2017,27,1,1
40,0,2,3,4,71,1,2,1,1,20.38,5.97,2,22,0,1,2.0,4,2.94,1,8,3,0,4,0,2017,27,1,1
41,0,2,2,4,71,1,2,1,2,30.22,4.99,3,22,0,1,1.0,79,3.75,3,9,2,0,10,0,2017,27,1,1
42,0,2,2,4,70,1,2,1,2,27.05,4.69,3,26,0,1,1.0,21,3.04,2,9,2,0,10,0,2017,27,1,1
43,0,2,2,4,71,1,2,1,2,26.4,4.83,3,22,0,1,1.0,42,2.05,2,9,2,0,10,0,2017,27,0,1
44,0,2,2,4,71,1,2,1,2,20.58,4.96,3,22,0,2,1.0,40,2.24,2,8,2,0,8,0,2017,27,0,1
45,0,2,2,4,71,1,2,1,2,22.88,3.33,3,22,0,3,2.0,33,2.25,1,8,2,0,1,0,2017,27,1,1
46,1,2,3,1,71,1,2,2,3,27.13,5.84,0,29,0,2,1.0,75,3.86,2,6,2,1,10,1,2017,0,0,1
47,1,2,3,1,71,1,2,2,3,24.93,3.28,0,29,0,2,1.0,28,3.03,1,6,2,1,6,1,2017,0,0,1
48,1,3,2,1,71,1,2,2,3,27.13,4.88,1,29,0,1,1.0,15,3.15,2,7,2,1,10,0,2017,0,1,1
49,1,2,3,1,71,1,2,2,3,32.78,4.98,0,29,0,1,2.0,64,3.34,1,6,2,1,15,1,2017,0,0,1
50,1,3,2,1,71,1,2,2,3,32.75,4.74,0,29,0,1,2.0,77,2.05,1,7,2,1,10,1,2017,0,0,1
51,1,3,2,1,71,1,2,2,3,31.85,4.8,1,29,0,2,2.0,58,3.31,1,7,2,1,4,0,2017,0,0,1
52,1,4,3,2,71,1,2,2,2,22.95,3.48,0,29,0,3,1.0,57,3.26,1,6,2,0,3,0,2017,0,1,1
53,1,4,2,2,71,1,2,2,2,31.91,3.92,0,29,0,1,1.0,8,2.65,3,7,2,0,8,1,2017,0,0,1
54,1,4,2,2,71,1,2,2,2,32.7,5.02,0,29,0,1,2.0,40,3.69,2,7,2,0,10,1,2017,7,1,1
55,1,3,2,2,71,1,2,2,3,26.39,5.45,0,29,0,1,2.0,20,3.19,1,7,2,0,10,1,2017,7,0,1
56,0,2,2,2,70,1,2,2,2,28.45,2.55,2,28,1,2,1.0,64,3.01,1,6,3,1,10,0,2017,7,0,1
57,0,2,2,2,70,1,2,2,2,27.58,2.99,2,28,1,1,1.0,49,2.32,1,6,3,1,10,0,2017,7,0,1
58,0,2,2,2,70,1,2,2,2,22.0,2.98,2,28,1,1,1.0,41,2.56,1,6,3,1,10,0,2017,7,0,1
59,0,2,2,3,70,1,2,2,2,22.23,3.04,2,28,1,1,1.0,75,1.67,1,6,3,0,10,0,2017,7,0,1
60,0,2,2,3,74,1,2,2,2,22.26,1.45,2,31,1,1,1.0,62,2.7,1,6,3,0,10,0,2017,7,0,1
61,1,4,2,3,71,1,2,2,2,20.75,4.76,0,29,0,1,1.0,68,3.07,2,7,2,1,10,1,2017,7,0,1
62,0,2,2,3,74,1,2,2,2,22.45,1.37,2,31,1,1,1.0,79,2.78,0,7,3,0,10,0,2017,7,0,1
63,1,4,2,3,71,1,2,2,2,26.69,5.13,0,29,0,1,1.0,64,3.64,2,7,2,1,10,1,2017,7,0,1
64,1,3,2,3,71,1,2,2,3,26.75,5.25,1,29,0,1,2.0,17,3.57,1,7,2,1,10,0,2017,7,0,1
65,0,3,2,3,74,1,2,2,2,31.62,3.65,2,31,1,1,1.0,75,2.61,1,7,2,0,10,0,2017,14,0,1
66,0,2,2,3,70,1,2,2,2,23.0,3.49,2,28,1,1,1.0,31,3.0,1,6,3,0,10,0,2017,14,0,1
67,1,2,3,3,71,1,2,2,3,30.51,3.38,0,29,0,2,1.0,80,2.48,1,6,2,1,10,1,2017,14,0,1
68,1,2,3,4,71,1,2,2,3,26.77,5.27,0,29,0,2,1.0,53,3.97,1,6,2,0,9,1,2017,14,1,1
69,1,4,2,4,71,1,2,2,2,32.66,5.01,1,29,0,1,1.0,4,3.57,2,7,2,0,4,0,2017,14,0,1
70,0,3,2,4,70,1,2,2,2,25.04,2.71,2,28,1,2,2.0,81,1.16,1,7,2,1,8,0,2017,21,0,1
71,0,3,2,4,70,1,2,2,2,24.7,2.71,1,28,1,3,1.0,80,3.32,1,7,3,1,7,0,2017,21,1,1
72,0,2,2,4,74,1,2,2,2,22.47,3.27,2,31,1,2,1.0,65,3.09,1,6,3,1,6,0,2017,21,0,1
73,1,3,2,4,71,1,2,2,3,27.54,4.44,1,29,0,1,2.0,96,2.66,2,7,2,0,10,0,2017,21,0,1
74,1,3,2,4,71,1,2,2,3,27.17,3.45,1,29,0,2,1.0,94,2.23,1,7,2,0,8,0,2017,21,0,1
75,1,2,3,4,71,1,2,2,3,27.02,5.13,0,29,0,1,2.0,77,2.78,1,6,2,0,10,1,2017,21,0,1
76,1,2,3,4,71,1,2,2,3,27.65,5.36,0,29,0,2,1.0,72,4.24,1,6,2,0,5,1,2017,21,0,1
77,1,3,2,4,71,1,2,2,3,25.95,4.22,1,29,0,1,2.0,71,2.57,2,7,2,0,10,0,2017,21,0,1
78,1,4,2,4,71,1,2,2,2,23.77,5.04,1,29,0,2,1.0,78,1.8,3,8,1,0,17,1,2017,21,0,1
79,0,4,2,1,68,1,1,2,0,24.07,6.32,1,25,0,1,1.0,92,2.88,1,5,3,0,10,1,2017,0,0,1
80,0,4,2,1,73,1,1,2,0,28.33,6.04,2,24,0,1,1.0,49,3.84,2,7,2,0,10,1,2017,0,0,1
81,0,4,2,1,68,1,1,2,0,31.06,2.07,2,25,0,3,1.0,43,1.96,1,6,3,0,4,0,2017,0,1,1
82,0,4,2,1,68,1,1,2,1,18.43,4.51,2,25,0,2,1.0,31,3.36,1,6,2,0,3,0,2017,0,0,1
83,0,4,2,1,73,1,1,2,1,21.84,3.66,2,24,0,3,1.0,29,0.87,3,7,2,0,1,0,2017,0,0,1
84,1,4,2,1,72,1,1,3,1,33.52,3.46,1,22,1,1,2.0,74,4.44,2,8,2,1,10,1,2017,0,0,0
85,0,4,2,1,68,1,1,2,0,25.17,5.75,2,25,0,2,1.0,70,2.97,1,7,2,0,10,1,2017,0,0,1
86,1,4,2,1,72,1,1,3,2,30.19,6.27,1,22,1,1,1.0,77,0.93,1,7,2,1,10,0,2017,0,1,0
87,1,4,2,1,66,1,1,3,2,32.82,5.55,0,22,1,2,1.0,49,2.16,1,7,2,1,10,1,2017,0,1,0
88,1,2,2,1,72,1,1,3,2,29.6,3.47,1,22,1,1,1.0,34,1.23,1,6,3,1,10,1,2017,0,0,0
89,0,4,2,2,73,1,1,2,1,27.07,4.93,1,24,0,1,2.0,75,2.8,2,7,2,1,10,1,2017,3,0,1
90,0,4,2,2,73,1,1,2,1,30.63,5.67,1,24,0,2,1.0,70,1.19,2,7,2,1,5,1,2017,3,0,1
91,0,4,2,2,68,1,1,2,1,34.37,6.2,2,25,0,1,1.0,65,1.83,1,7,2,1,10,0,2017,3,0,1
92,0,4,2,2,73,1,1,2,1,29.01,5.57,1,24,0,2,1.0,38,1.91,2,7,2,1,2,1,2017,3,0,1
93,0,4,2,2,68,1,1,2,1,31.14,3.57,1,25,0,3,2.0,37,2.28,2,8,2,1,1,1,2017,3,1,1
94,0,4,2,2,73,1,1,2,1,27.85,4.64,0,24,0,1,1.0,25,1.75,1,6,3,1,20,1,2017,3,0,1
95,0,4,2,2,68,1,1,2,0,22.03,4.04,1,25,0,1,2.0,5,1.75,1,7,3,1,5,1,2017,3,1,1
96,1,4,2,2,72,1,1,3,2,16.81,5.02,0,22,1,1,2.0,75,1.06,2,8,2,0,10,1,2017,3,0,0
97,1,3,2,2,66,1,1,3,3,29.12,5.8,0,22,1,2,1.0,72,0.28,3,8,2,0,7,1,2017,3,1,0
98,1,3,2,2,72,1,1,3,2,20.64,3.65,1,22,1,1,1.0,26,4.71,2,8,2,0,10,1,2017,3,0,0
99,1,2,2,2,72,1,1,3,2,24.5,4.19,1,22,1,2,1.0,22,2.73,1,7,3,0,6,1,2017,3,0,0
100,1,4,2,2,66,1,1,3,2,23.59,3.21,1,22,1,1,2.0,15,5.65,3,8,2,0,10,0,2017,3,0,0
101,1,2,2,2,72,1,1,3,3,30.12,4.41,1,22,1,2,1.0,10,3.51,1,6,3,0,5,0,2017,3,1,0
102,1,4,2,3,72,1,1,3,1,17.35,6.41,1,22,0,2,1.0,75,0.89,2,7,2,1,10,1,2017,10,0,0
103,1,4,2,3,72,1,1,3,1,37.04,6.89,1,22,0,1,1.0,59,1.41,3,7,2,1,10,1,2017,10,0,0
104,0,4,2,3,68,1,1,2,0,35.04,6.57,2,25,0,1,1.0,80,2.63,2,7,2,0,10,1,2017,10,0,1
105,1,4,2,3,72,1,1,3,2,23.07,7.06,0,22,0,1,2.0,55,1.11,2,8,2,1,10,1,2017,10,0,0
106,1,4,2,3,72,1,1,3,2,27.14,5.04,0,22,0,2,2.0,50,1.35,1,7,2,1,5,1,2017,10,0,0
107,0,4,2,3,73,1,1,2,0,29.33,6.43,2,24,0,1,1.0,75,0.54,1,7,2,0,10,1,2017,10,0,1
108,0,4,2,3,68,1,1,2,1,28.2,4.24,1,25,0,2,1.0,74,0.86,1,6,3,0,9,0,2017,10,0,1
109,0,4,2,3,68,1,1,2,1,28.56,3.05,1,25,0,2,1.0,60,3.81,1,6,3,0,8,0,2017,10,0,1
110,0,4,2,3,68,1,1,2,0,28.0,4.3,2,25,0,1,1.0,20,3.31,2,6,2,0,20,1,2017,10,0,1
111,1,4,2,3,66,1,1,3,1,23.51,5.92,1,22,1,1,1.0,71,1.9,1,6,2,1,10,1,2017,10,0,0
112,1,2,2,3,66,1,1,3,2,21.05,1.85,1,22,1,2,1.0,74,2.73,1,5,3,1,13,1,2017,10,0,0
113,1,4,3,3,72,1,1,3,1,23.15,4.7,1,22,1,1,2.0,56,3.68,3,9,1,1,10,1,2017,10,0,0
114,0,4,2,4,68,1,1,2,1,19.02,5.13,2,25,0,1,1.0,35,1.06,1,7,2,1,10,0,2017,17,0,1
115,0,3,2,4,73,1,1,2,1,28.44,4.78,1,24,0,1,1.0,23,1.94,2,6,3,1,10,1,2017,17,0,1
116,1,4,3,1,73,1,2,2,1,26.73,4.27,1,24,0,2,1.0,75,2.63,1,7,2,0,10,0,2017,0,1,1
117,1,4,3,1,73,1,2,2,1,23.67,5.32,1,24,0,1,1.0,63,2.4,1,6,2,0,10,0,2017,0,0,1
118,0,3,2,1,70,1,2,2,2,28.16,2.67,2,26,0,1,2.0,64,1.18,3,7,2,1,10,0,2017,0,0,1
119,0,3,2,1,70,1,2,2,2,31.68,4.34,2,26,0,2,1.0,60,3.3,2,7,2,1,6,0,2017,0,1,1
120,0,3,2,1,70,1,2,2,2,29.01,3.72,2,26,0,1,1.0,48,2.94,2,8,2,1,10,0,2017,0,0,1
121,0,3,2,1,72,1,2,2,2,24.49,2.21,2,26,0,1,1.0,35,3.19,2,8,2,1,10,0,2017,0,0,1
122,0,2,1,1,68,1,2,2,4,23.51,4.2,0,32,0,2,1.0,11,3.13,2,6,4,1,10,0,2017,0,0,1
123,0,3,2,1,70,1,2,2,2,28.58,5.09,2,26,0,1,1.0,53,4.22,2,7,2,1,10,0,2017,0,0,1
124,1,4,3,2,73,1,2,2,1,25.56,3.72,1,24,1,2,1.0,39,1.43,1,7,2,1,7,0,2017,0,0,1
125,0,2,1,2,70,1,2,2,3,29.39,3.66,1,26,0,2,1.0,74,3.21,1,6,4,0,10,0,2017,0,0,1
126,1,4,3,2,73,1,2,2,1,29.98,3.01,1,24,1,1,2.0,60,2.5,1,7,2,1,10,0,2017,0,0,1
127,0,3,2,2,70,1,2,2,2,33.41,4.77,2,26,0,1,1.0,76,2.13,2,7,2,0,10,0,2017,0,0,1
128,0,2,1,2,70,1,2,2,3,28.61,2.43,1,26,0,2,1.0,75,2.9,1,6,4,0,9,0,2017,0,1,1
129,0,3,2,2,72,1,2,2,2,23.31,3.53,2,26,0,1,2.0,51,3.48,2,6,2,0,10,0,2017,0,0,1
130,0,3,2,2,72,1,2,2,2,23.28,2.54,2,26,0,1,1.0,57,1.61,2,6,2,0,16,0,2017,0,0,1
131,0,4,2,2,70,1,2,2,1,30.97,3.82,4,26,0,1,0.0,2,2.76,3,10,0,0,2,0,2017,0,1,1
132,0,2,1,2,72,1,2,2,3,31.81,3.62,1,26,0,1,1.0,63,2.8,1,6,4,0,10,0,2017,0,0,1
133,0,2,1,2,72,1,2,2,3,30.95,3.05,1,26,0,3,1.0,66,3.51,0,4,4,0,13,0,2017,0,1,1
134,1,4,3,3,73,1,2,1,0,22.32,1.16,2,24,1,1,1.0,26,1.85,1,7,2,0,10,0,2017,0,0,2
135,1,4,3,3,73,1,2,1,1,25.49,2.74,1,24,1,1,1.0,14,2.75,1,6,2,0,10,0,2017,0,0,2
136,0,3,2,3,70,1,2,2,2,20.0,5.22,2,26,0,1,1.0,88,2.25,2,7,2,1,10,0,2017,0,0,1
137,0,3,2,3,70,1,2,2,2,21.99,3.31,2,26,0,2,1.0,81,2.31,2,7,2,1,3,0,2017,0,0,1
138,0,2,2,3,70,1,2,2,2,23.09,3.22,2,26,0,3,1.0,79,3.15,1,7,3,1,1,0,2017,0,1,1
139,0,2,2,3,72,1,2,2,2,23.92,3.71,2,26,0,1,1.0,57,3.32,1,6,3,1,10,0,2017,0,0,1
140,0,3,2,3,72,1,2,2,2,24.22,3.14,2,26,0,2,1.0,51,2.69,2,7,2,1,4,0,2017,0,0,1
141,0,3,2,3,70,1,2,2,2,25.6,3.53,2,26,0,3,1.0,48,2.45,2,8,2,1,1,0,2017,0,1,1
142,0,2,2,3,70,1,2,2,2,25.6,3.79,2,26,0,1,1.0,46,1.08,1,6,3,1,10,0,2017,0,0,1
143,0,2,2,3,72,1,2,2,2,27.64,4.26,2,26,0,2,1.0,44,2.68,2,7,3,1,8,0,2017,0,0,1
144,0,2,1,3,72,1,2,2,3,26.34,1.58,1,26,0,3,1.0,40,3.19,1,6,4,1,4,0,2017,0,1,1
145,0,3,2,3,72,1,2,2,2,20.77,5.01,2,26,0,1,1.0,34,3.56,3,8,2,1,10,0,2017,0,0,1
146,0,3,2,3,70,1,2,2,2,24.04,3.07,2,26,0,2,1.0,34,2.41,2,6,2,1,10,0,2017,0,0,1
147,0,2,2,3,72,1,2,2,2,21.33,2.1,2,26,0,1,2.0,23,2.76,1,6,3,1,10,0,2017,0,0,1
148,0,3,2,3,72,1,2,2,2,25.06,4.11,2,26,0,2,1.0,16,2.8,1,8,2,1,3,0,2017,0,0,1
149,0,3,2,3,70,1,2,2,2,33.24,5.02,2,26,0,2,1.0,10,4.13,3,7,2,1,10,0,2017,0,0,1
150,0,3,2,3,70,1,2,2,2,30.94,3.21,2,26,0,1,1.0,85,3.05,2,8,2,1,10,0,2017,0,1,1
151,0,3,2,4,70,1,2,2,2,23.97,2.42,2,26,0,1,2.0,74,2.51,2,7,2,0,10,0,2017,0,0,1
152,0,2,2,4,72,1,2,2,2,29.68,5.2,2,26,0,2,1.0,72,3.9,1,7,3,0,8,0,2017,0,0,1
153,0,2,1,4,72,1,2,2,3,31.45,2.04,1,26,0,3,0.0,80,2.46,0,4,4,0,16,0,2017,0,0,1
154,0,3,2,4,70,1,2,2,2,25.88,4.42,2,26,0,1,1.0,92,3.45,2,6,2,0,10,0,2017,0,0,1
155,0,3,2,4,70,1,2,2,2,25.7,3.36,2,26,0,2,1.0,93,2.63,2,7,2,0,11,0,2017,0,0,1
156,0,2,2,4,72,1,2,2,2,21.62,2.38,2,26,0,3,1.0,85,2.0,1,7,3,0,3,0,2017,0,0,1
157,0,3,2,4,72,1,2,2,2,28.82,2.68,2,26,0,1,1.0,86,1.9,2,8,2,0,10,0,2017,0,0,1
158,0,3,2,4,72,1,2,2,2,27.62,4.42,2,26,0,2,1.0,87,3.39,2,8,2,0,11,0,2017,0,0,1
159,0,2,1,4,72,1,2,2,3,26.37,3.28,1,26,0,3,1.0,85,3.0,1,6,4,0,9,0,2017,0,0,1
160,0,3,2,4,72,1,2,2,2,26.66,3.79,2,26,0,1,2.0,56,1.55,2,8,2,0,10,0,2017,0,0,1
161,0,3,2,4,72,1,2,2,2,31.8,4.09,2,26,0,2,1.0,58,2.47,2,8,2,0,12,0,2017,0,0,1
162,0,3,2,4,72,1,2,2,2,28.25,4.45,2,26,0,3,1.0,51,2.94,2,8,2,0,5,0,2017,0,0,1
163,1,4,2,1,71,1,1,2,1,23.27,4.27,1,24,0,2,1.0,74,3.61,3,6,2,0,9,1,2017,0,0,0
164,1,4,2,1,71,1,1,2,1,25.65,4.05,1,24,1,1,1.0,75,3.02,2,7,2,0,10,1,2017,0,0,0
165,1,4,2,1,71,1,1,2,1,22.97,4.93,1,24,1,2,1.0,70,3.74,1,6,2,0,5,1,2017,0,0,0
166,1,4,2,1,71,1,1,2,1,23.32,3.26,1,24,1,2,1.0,77,2.14,1,6,3,0,12,0,2017,0,0,0
167,1,4,2,1,71,1,1,2,1,33.21,4.11,1,24,1,1,2.0,68,2.14,1,7,3,0,10,0,2017,0,0,0
168,1,4,2,1,71,1,1,2,1,23.49,3.83,0,24,1,1,1.0,52,3.49,1,6,3,0,10,1,2017,0,0,0
169,1,4,2,1,69,1,1,2,2,25.32,3.7,0,23,1,2,1.0,34,2.42,1,6,3,0,2,0,2017,0,1,0
170,1,4,2,1,71,1,1,2,1,26.7,3.29,0,24,1,1,1.0,31,0.82,1,6,3,0,10,1,2017,0,0,0
171,1,3,2,1,71,1,1,2,2,23.02,3.41,1,24,1,1,1.0,3,2.68,1,8,2,0,3,1,2017,0,0,0
172,0,4,2,1,73,1,1,2,1,28.14,3.18,2,25,0,2,1.0,75,1.71,2,6,2,1,10,0,2017,7,0,1
173,0,4,2,2,73,1,1,2,1,21.69,0.8,1,25,0,2,1.0,61,2.11,1,5,3,0,15,0,2017,7,0,1
174,1,4,2,2,71,1,1,2,1,26.23,2.93,1,24,0,1,1.0,60,1.9,1,6,3,1,10,0,2017,7,0,0
175,0,4,2,2,73,1,1,2,1,22.92,3.59,2,22,0,1,1.0,94,2.29,2,7,2,0,10,0,2017,7,0,1
176,0,4,2,2,73,1,1,2,1,28.41,3.44,1,25,0,3,2.0,79,1.27,1,7,3,0,1,0,2017,7,0,1
177,1,4,2,2,71,1,1,2,1,26.24,4.99,1,24,0,1,1.0,41,4.11,1,7,2,1,10,1,2017,7,0,0
178,1,4,2,2,71,1,1,2,1,30.59,2.59,1,24,0,1,1.0,64,2.45,1,6,3,1,10,0,2017,7,0,0
179,1,4,2,2,71,1,1,2,1,23.13,2.85,1,24,0,2,1.0,63,2.44,1,6,3,1,9,0,2017,7,0,0
180,0,4,2,2,73,1,1,2,1,25.05,3.31,1,25,0,2,1.0,9,2.64,1,6,3,0,9,0,2017,7,0,1
181,1,4,2,2,69,1,1,2,1,21.05,4.05,1,23,1,1,1.0,89,1.98,1,7,3,1,10,0,2017,7,0,0
182,1,4,2,3,71,1,1,2,1,23.38,2.59,1,24,1,1,1.0,36,2.87,2,6,2,0,10,1,2017,7,0,0
183,1,4,2,3,71,1,1,2,1,29.96,3.52,1,24,1,1,1.0,11,2.7,1,6,2,0,10,1,2017,7,0,0
184,0,4,1,3,73,1,1,2,1,27.95,3.14,2,25,0,1,1.0,61,2.8,1,5,3,1,10,0,2017,10,0,1
185,0,5,1,3,73,1,1,2,0,31.97,1.59,2,25,0,1,1.0,8,2.06,1,6,3,1,8,0,2017,10,0,1
186,0,5,1,3,73,1,1,2,0,27.72,3.08,2,25,0,2,1.0,7,2.83,1,5,3,1,7,0,2017,10,0,1
187,1,4,2,3,71,1,1,2,0,23.18,2.79,1,24,1,1,1.0,50,2.58,1,6,3,0,10,1,2017,10,0,0
188,0,4,1,3,73,1,1,2,1,21.95,2.54,2,22,0,2,1.0,64,3.08,1,5,3,1,8,0,2017,10,0,1
189,0,4,1,4,73,1,1,2,1,28.01,3.53,2,22,0,1,1.0,50,3.52,1,5,3,0,10,0,2017,10,0,1
190,0,4,1,4,73,1,1,2,1,28.3,2.12,2,22,0,1,1.0,30,2.02,1,5,3,0,10,0,2017,10,0,1
191,0,4,2,4,73,1,1,2,1,27.86,3.09,2,25,0,1,1.0,76,2.81,2,6,2,0,10,0,2017,10,0,1
192,1,4,2,4,69,1,1,2,2,27.61,4.18,0,23,1,1,2.0,11,3.37,1,6,3,1,10,0,2017,10,0,0
193,0,4,2,4,73,1,1,2,1,27.13,4.19,2,25,0,1,1.0,44,3.2,2,6,2,0,10,0,2017,18,1,1
194,0,2,3,1,73,2,2,2,1,28.66,3.65,3,25,0,2,1.0,73,2.23,1,6,2,1,6,0,2017,0,0,1
195,0,3,2,1,73,2,2,2,1,30.62,3.12,3,25,0,1,1.0,56,2.28,2,7,2,1,10,0,2017,0,0,1
196,1,4,2,1,69,2,2,1,1,27.81,5.86,2,24,0,1,1.0,26,4.26,2,6,2,0,10,0,2017,0,0,2
197,1,4,3,1,69,2,2,1,0,20.56,5.34,2,24,1,1,1.0,85,3.9,1,7,2,0,10,0,2017,0,0,2
198,0,3,2,1,73,2,2,2,2,28.52,3.86,2,25,0,2,1.0,64,2.61,2,7,2,1,7,0,2017,0,0,1
199,0,3,2,1,73,2,2,2,2,24.95,3.34,2,25,0,3,2.0,58,1.02,2,8,2,1,1,0,2017,0,0,1
200,0,3,2,1,73,2,2,2,1,25.27,3.54,3,25,0,1,1.0,13,2.01,2,7,2,1,10,0,2017,0,0,1
201,0,2,3,1,73,2,2,2,1,31.42,3.15,3,25,0,2,1.0,3,2.93,1,7,2,1,3,0,2017,0,0,1
202,1,4,3,1,69,2,2,1,0,20.84,2.8,2,24,1,1,1.0,93,2.16,1,6,2,0,10,0,2017,0,0,2
