,LineBackers,A,isHomeTeam,Distance,PlayerHeightInches,TimeSnapDiff,S,TightEnds,YardsToTouchdown,Season,TurfCode,Safeties,StadiumTypeCode,Age,IsPossTeamInLead,NoseTackles,isPlayDirectionLeft,Centers,Cornerbacks,DefensiveEnds,OffensiveGuards,HomeScoreBeforePlay,Y,Down,DefensiveTackles,isFirstDown,Quarter,DefendersInTheBox
14729,5,0.53,0,10,68,2.0,6.03,2,80,2018,1,2,3,24,0,0,0,2,2,0,2,10,22.68,1,2,0,4,7
27072,2,2.75,1,10,70,2.0,5.08,1,54,2019,2,2,2,24,1,0,1,2,3,4,1,9,27.77,1,0,0,4,7
8455,4,2.26,1,10,69,1.0,3.94,1,65,2017,1,3,1,24,0,1,1,0,2,0,2,21,29.72,1,1,0,4,6
23076,2,3.87,0,10,72,1.0,3.86,0,73,2019,1,1,1,29,1,1,0,1,4,2,1,17,30.21,1,1,0,3,6
24081,3,3.07,1,10,72,2.0,4.67,2,41,2019,2,2,1,23,1,1,0,1,2,2,2,0,28.45,1,1,0,1,7
23581,4,4.62,1,10,73,1.0,2.76,2,92,2019,1,1,1,25,1,1,0,1,3,1,2,10,29.32,2,1,0,3,6
3619,4,4.17,0,10,72,1.0,4.24,2,50,2017,1,2,1,27,1,1,1,1,2,1,2,17,21.09,1,1,0,3,8
4090,5,3.5,0,10,69,2.0,4.01,2,24,2017,3,3,1,27,1,1,1,1,1,0,2,7,26.93,1,1,0,1,8
17232,4,2.45,0,7,70,2.0,5.59,2,29,2018,1,2,1,27,0,1,1,2,2,2,0,21,26.46,3,0,0,4,7
8692,3,0.47,1,10,68,2.0,3.68,1,61,2017,1,2,1,26,0,0,0,2,3,2,1,10,30.13,1,1,0,2,6
7176,3,2.43,0,10,71,2.0,3.51,1,85,2017,1,2,1,29,0,0,1,1,2,3,2,10,24.92,1,1,0,3,7
23611,5,2.69,0,1,73,1.0,5.43,2,1,2019,2,3,1,34,1,0,0,0,0,0,2,14,25.73,2,4,0,2,10
4096,2,2.59,1,5,72,1.0,3.52,1,89,2017,3,3,1,24,0,0,0,1,2,2,2,7,23.86,2,2,0,1,6
16703,5,3.8,0,10,73,1.0,4.01,2,93,2018,1,2,1,33,0,0,0,1,2,0,2,3,23.03,2,2,0,4,7
2599,4,3.01,1,5,71,1.0,4.38,0,37,2017,2,2,1,23,1,0,1,1,2,1,3,10,20.5,2,2,0,3,7
19499,2,2.52,0,10,73,1.0,5.54,1,59,2018,2,2,3,27,1,0,0,1,3,3,2,20,20.75,1,1,0,2,7
5967,3,2.56,0,10,70,1.0,4.61,2,91,2017,1,2,1,29,0,0,1,1,2,2,2,0,26.71,1,2,0,1,8
14072,2,2.56,0,11,68,1.0,1.21,1,76,2018,2,2,2,27,1,0,0,1,3,2,2,43,32.18,2,2,0,4,6
22464,2,3.17,0,5,70,1.0,3.71,1,5,2019,1,1,1,22,0,1,1,2,3,4,2,3,24.74,1,0,0,3,7
23282,5,3.75,0,10,72,2.0,4.38,2,82,2019,3,2,1,24,0,1,1,1,2,0,2,27,29.06,1,1,0,4,7
2130,4,2.04,0,9,73,2.0,3.27,1,83,2017,1,2,1,25,0,1,1,1,2,1,3,0,28.63,2,1,0,3,7
23613,3,3.77,1,10,72,1.0,4.74,1,21,2019,2,2,1,23,0,1,1,1,3,2,2,14,23.46,1,0,0,2,6
6143,2,1.63,0,10,70,2.0,3.51,2,36,2017,2,2,3,28,1,1,0,1,2,3,3,17,26.38,1,1,0,3,8
17114,4,2.12,1,10,72,2.0,4.37,2,67,2018,2,2,3,22,0,0,1,1,3,1,3,24,23.5,1,1,0,3,7
12317,2,4.71,1,8,73,1.0,3.94,2,65,2018,2,3,3,25,1,0,0,1,2,2,2,0,25.57,2,2,0,1,7
10945,3,2.88,1,16,71,2.0,3.43,1,96,2017,1,2,1,24,1,1,1,2,3,1,1,6,29.46,2,1,0,3,6
7220,3,2.34,1,2,70,1.0,2.52,1,26,2017,2,2,1,25,0,0,0,1,3,1,2,28,30.99,3,2,0,3,6
19800,3,2.84,1,10,70,1.0,5.34,2,41,2018,2,3,2,23,0,0,1,0,1,2,2,27,26.51,2,2,0,4,8
6010,4,2.67,1,8,69,2.0,2.73,2,73,2017,1,2,1,28,0,1,0,0,2,1,3,15,25.95,2,1,0,4,8
14172,3,2.73,0,6,73,1.0,4.19,2,45,2018,2,2,1,23,0,0,1,1,2,2,2,7,22.24,2,2,0,2,7
22177,2,3.69,1,10,72,1.0,4.07,1,11,2019,2,1,4,29,0,1,0,1,4,2,1,6,27.11,2,1,0,4,6
7553,3,1.81,1,10,70,2.0,3.9,3,44,2017,1,2,1,23,0,0,1,2,1,3,1,23,23.66,1,2,0,4,9
8454,5,2.72,1,10,71,1.0,3.68,3,80,2017,1,3,1,24,0,1,1,0,1,0,2,21,23.57,2,1,0,4,9
25024,3,2.24,0,10,73,1.0,5.17,1,37,2019,1,1,1,24,0,1,1,1,4,1,2,0,24.36,1,1,0,3,6
5224,2,1.43,1,2,71,1.0,1.73,1,10,2017,1,2,1,21,0,1,1,1,2,3,2,20,28.61,2,1,0,4,8
15064,2,1.06,1,6,74,1.0,6.58,1,50,2018,1,2,1,21,0,0,1,1,3,2,2,0,35.65,2,2,0,1,6
3136,2,3.62,0,10,69,1.0,4.28,1,42,2017,2,1,2,22,1,0,0,1,4,3,3,21,31.82,1,1,0,3,6
4980,2,2.74,0,10,70,1.0,4.68,1,41,2017,2,2,1,26,0,0,1,1,3,2,2,7,20.58,1,2,0,1,7
21489,3,3.79,0,5,70,1.0,4.72,2,79,2019,1,1,1,21,0,1,1,2,3,2,1,10,23.9,2,1,0,3,7
5935,3,2.31,1,10,72,1.0,3.65,3,62,2017,1,2,4,22,0,1,1,1,2,2,2,0,21.76,1,1,0,1,8
8313,2,2.55,0,16,69,1.0,4.63,1,51,2017,2,2,1,34,0,0,1,1,3,2,1,0,21.59,3,2,0,2,7
11370,4,1.1,0,10,73,1.0,3.67,3,50,2018,2,2,1,24,0,0,1,1,2,0,2,9,30.33,1,3,0,3,8
24814,2,2.61,0,4,66,1.0,4.42,1,60,2019,2,3,2,24,1,0,0,1,2,3,2,38,25.92,2,1,0,4,5
4346,3,3.13,1,1,73,1.0,2.58,2,38,2017,1,2,1,24,0,0,1,1,2,2,3,26,30.71,4,2,0,4,8
26150,1,2.6,0,7,72,2.0,3.81,1,61,2019,2,2,4,23,0,0,0,1,4,3,2,0,30.84,2,1,0,2,5
23421,3,2.53,1,10,71,1.0,4.57,2,11,2019,2,1,2,22,0,0,1,2,3,2,1,3,23.01,2,2,0,1,7
24631,3,1.9,1,10,71,2.0,5.04,2,30,2019,1,2,1,23,1,0,1,0,2,3,3,20,26.48,1,1,0,3,7
7257,4,2.44,0,10,70,1.0,2.48,2,75,2017,2,2,1,27,1,1,1,1,2,1,2,17,26.89,1,1,0,3,8
23852,2,4.96,1,10,72,2.0,3.61,1,51,2019,1,2,1,23,1,0,0,1,3,2,2,0,26.12,1,2,0,1,7
25650,3,3.1,0,4,70,1.0,3.03,1,4,2019,2,2,1,27,0,1,0,1,3,2,2,0,28.98,1,0,0,2,6
24100,4,3.81,0,15,70,2.0,3.5,1,55,2019,2,2,1,24,0,0,1,1,2,0,2,10,24.22,1,3,0,3,7
14923,3,0.71,1,9,73,2.0,4.67,0,74,2018,1,2,1,25,1,0,0,2,2,3,3,0,27.13,2,1,0,1,7
25516,3,2.26,0,10,75,1.0,5.62,1,88,2019,1,2,1,29,0,0,0,1,3,1,1,7,32.71,1,2,0,1,6
27783,4,3.15,1,10,71,1.0,4.74,2,26,2019,1,1,1,22,0,0,1,1,3,1,2,0,22.7,1,2,0,1,7
3434,4,3.18,1,10,73,2.0,4.51,2,22,2017,2,2,4,21,0,0,0,1,2,1,2,26,32.81,1,2,0,3,7
26558,2,3.83,0,10,70,1.0,3.85,1,58,2019,1,2,1,22,1,0,1,1,3,2,1,19,28.83,2,2,0,3,6
19238,4,3.3,0,10,71,1.0,1.86,1,25,2018,1,3,3,27,0,0,1,2,2,0,1,3,31.15,1,2,0,4,7
3412,4,2.58,1,10,70,1.0,2.61,0,96,2017,2,1,4,26,0,0,1,1,3,1,2,3,29.61,1,2,0,1,7
12311,3,1.61,1,6,72,2.0,3.86,3,39,2018,1,2,1,28,0,1,1,0,1,2,3,21,31.57,3,2,0,4,9
25210,2,2.99,0,10,72,1.0,4.21,2,33,2019,2,2,1,24,1,0,0,1,2,2,2,7,30.75,1,3,0,3,8
18063,4,3.42,1,7,74,1.0,4.39,2,31,2018,2,2,4,27,0,0,0,2,3,1,1,34,29.32,2,1,0,4,7
17601,3,4.59,1,8,73,2.0,4.45,1,8,2018,1,2,1,23,0,0,0,2,3,0,1,20,23.47,1,3,0,4,8
19783,3,3.73,0,5,74,1.0,3.86,2,63,2018,2,2,2,23,1,0,1,2,2,2,1,21,25.38,2,2,0,2,7
3433,3,3.18,1,10,73,2.0,3.94,1,41,2017,2,2,4,21,0,0,0,1,3,1,2,26,26.48,1,2,0,3,5
8552,2,1.82,1,13,73,1.0,2.92,1,78,2017,1,2,4,24,0,0,1,1,3,4,2,30,29.29,3,0,0,4,6
8435,5,2.2,1,1,69,1.0,4.58,1,37,2017,1,2,1,24,0,2,1,0,2,0,2,7,22.25,2,0,0,2,7
20125,3,2.85,1,4,69,1.0,2.12,1,35,2018,2,2,3,22,1,0,0,1,3,1,2,0,28.02,2,2,0,2,7
7029,3,1.65,1,4,71,2.0,4.29,1,54,2017,1,3,1,22,0,0,0,0,2,1,3,10,28.21,2,2,0,4,6
21866,4,2.94,1,5,70,1.0,5.0,1,22,2019,2,2,2,24,1,0,0,1,3,1,1,0,29.97,2,1,0,2,6
15818,3,3.82,0,10,69,1.0,3.74,1,54,2018,1,1,1,29,0,1,0,1,4,2,2,0,29.54,1,0,0,1,6
25267,4,1.32,0,10,70,2.0,5.18,2,49,2019,2,1,2,24,0,1,1,1,3,1,2,24,26.74,1,1,0,4,7
16702,5,3.72,0,10,73,1.0,3.56,3,93,2018,1,2,1,33,0,0,0,1,2,0,2,3,29.4,1,2,0,4,7
11585,4,1.89,1,10,72,1.0,4.0,1,78,2018,2,2,2,31,0,1,0,2,2,1,1,7,22.95,1,1,0,1,8
309,4,2.5,1,6,73,1.0,4.31,1,53,2017,1,2,1,29,1,0,1,1,2,1,2,10,26.96,2,2,0,3,8
16451,2,6.22,0,10,73,1.0,7.21,1,44,2018,2,2,1,24,0,0,0,2,3,2,1,14,27.53,1,2,0,4,6
17382,4,1.71,1,6,72,1.0,5.16,2,75,2018,1,2,4,28,0,0,0,1,2,1,2,0,23.67,2,2,0,1,7
11367,4,1.52,0,9,73,2.0,5.82,2,74,2018,2,2,1,24,0,0,1,1,3,0,2,9,21.8,2,2,0,3,7
15023,3,4.75,0,9,71,1.0,4.48,1,33,2018,1,3,1,21,0,0,1,2,2,2,1,21,30.41,3,1,0,4,6
6653,3,1.74,1,10,71,1.0,3.87,2,12,2017,2,2,1,25,0,1,1,1,2,1,2,6,25.85,1,2,0,4,9
14125,3,3.82,0,12,70,2.0,4.82,1,75,2018,2,2,1,24,0,0,1,1,3,3,3,13,23.63,3,0,0,4,7
21078,4,1.94,0,10,72,2.0,6.08,1,69,2018,1,2,1,22,0,1,0,0,2,1,4,0,20.81,1,1,0,1,7
5501,2,3.26,0,5,73,1.0,3.26,1,5,2017,1,2,1,32,0,1,1,1,3,3,2,0,28.54,2,0,0,1,6
9790,5,0.99,1,9,72,1.0,3.19,3,91,2017,1,1,1,23,0,0,1,1,2,1,2,20,25.95,2,2,0,4,8
20064,4,2.36,0,10,73,1.0,5.45,1,57,2018,1,2,1,33,0,0,1,2,3,1,1,12,24.83,1,1,0,4,7
9345,3,0.89,0,1,72,1.0,2.65,1,44,2017,2,2,1,31,1,0,1,1,3,1,2,20,24.2,4,2,0,2,8
13699,5,4.12,1,1,72,1.0,3.46,2,38,2018,2,2,2,31,0,1,0,2,2,0,1,24,23.61,2,1,0,3,7
3981,3,3.42,0,10,69,1.0,5.46,2,56,2017,2,2,1,28,1,0,0,0,2,2,3,20,34.27,2,2,0,4,7
20677,3,3.14,1,10,70,1.0,2.63,1,75,2018,1,1,1,24,0,0,1,1,3,2,2,26,27.1,1,2,0,4,7
23387,2,2.13,0,15,71,2.0,6.05,1,76,2019,2,2,1,24,0,0,0,1,3,2,2,0,33.57,1,2,0,1,6
8150,3,2.05,0,1,71,2.0,4.18,2,66,2017,1,2,1,25,1,0,1,2,3,1,1,10,26.43,2,2,0,2,6
27801,4,3.17,0,10,71,1.0,2.84,1,22,2019,1,2,1,24,1,1,1,1,2,2,2,10,29.67,1,1,0,2,8
4020,3,2.02,0,10,71,1.0,4.41,2,33,2017,1,2,1,21,1,1,0,1,2,1,2,17,22.96,1,2,0,3,7
10911,4,1.72,1,10,73,1.0,1.68,1,70,2017,1,3,1,24,0,0,0,1,3,0,2,23,21.87,1,1,0,3,6
19386,2,1.47,0,10,72,2.0,6.17,2,76,2018,1,2,1,22,1,1,1,1,3,3,2,21,21.28,1,0,0,3,6
23027,4,1.88,1,10,71,1.0,5.42,2,75,2019,1,2,1,22,0,0,0,1,2,0,2,6,28.87,1,3,0,1,8
27561,2,2.91,1,10,72,1.0,4.77,2,11,2019,2,1,3,25,0,0,1,1,4,2,3,24,24.96,1,2,0,4,6
7010,4,2.69,0,7,71,1.0,3.67,2,94,2017,1,2,1,25,0,1,1,2,2,2,1,0,23.01,2,0,0,2,8
28308,4,3.29,0,10,72,2.0,5.01,2,75,2019,1,2,1,24,1,0,1,1,2,1,2,7,27.63,1,2,0,2,7
3176,2,3.23,1,10,70,1.0,3.69,1,60,2017,2,3,4,26,1,1,1,1,3,1,2,0,30.13,1,1,0,2,7
20862,2,2.51,0,10,72,1.0,4.4,1,44,2018,2,2,2,24,0,0,0,1,3,2,2,0,23.67,1,2,0,2,6
6967,2,4.58,0,4,73,1.0,5.1,1,4,2017,2,1,2,24,0,0,0,1,4,3,2,0,24.5,2,1,0,3,7
404,2,1.76,1,10,71,2.0,2.93,2,57,2017,1,3,1,24,0,0,0,1,1,3,2,39,31.04,1,2,0,4,8
10602,4,2.0,1,5,68,2.0,3.61,1,65,2017,2,2,1,27,0,1,0,1,2,1,2,21,31.0,2,1,0,3,8
2003,4,3.01,0,5,72,2.0,2.64,2,70,2017,3,4,1,22,1,1,0,0,2,0,3,35,29.16,2,0,0,4,8
10444,3,2.93,0,10,74,2.0,3.71,0,39,2017,2,2,3,26,0,0,0,2,2,2,2,0,27.13,1,2,0,1,8
12975,3,3.42,1,5,66,1.0,4.08,1,86,2018,1,2,1,23,0,0,1,1,3,1,2,35,25.45,2,2,0,2,6
22328,4,3.31,0,10,72,1.0,3.31,3,90,2019,1,2,1,23,0,0,0,1,2,1,3,7,30.15,1,2,0,3,7
25178,3,3.57,0,20,73,1.0,3.94,1,73,2019,2,2,1,25,0,0,0,0,3,2,4,9,29.32,3,1,0,2,4
17988,2,3.61,0,10,69,1.0,4.26,1,71,2018,2,2,2,24,0,0,1,1,3,2,1,0,24.01,1,2,0,1,7
20265,2,2.13,1,10,75,1.0,4.41,1,39,2018,2,1,2,26,0,0,1,1,4,2,2,17,31.27,1,2,0,3,6
21785,4,2.72,0,3,73,2.0,4.23,1,37,2019,1,1,1,26,1,0,0,2,4,0,1,7,29.85,3,2,0,2,6
24235,3,4.06,1,10,73,1.0,3.85,1,34,2019,1,2,1,24,1,0,0,1,3,1,2,13,24.81,1,2,0,3,6
25645,5,2.83,0,10,71,2.0,4.38,2,28,2019,2,2,1,24,0,1,1,1,2,0,2,0,29.07,1,1,0,1,7
7311,4,2.12,0,10,69,1.0,4.05,2,75,2017,1,2,1,27,1,0,0,1,2,1,1,10,25.49,1,2,0,1,8
17524,4,1.28,1,1,72,1.0,4.61,2,33,2018,2,2,2,23,0,2,0,1,1,2,2,31,23.18,4,0,0,4,9
20422,2,3.36,0,10,74,1.0,4.06,1,65,2018,1,2,1,27,1,0,0,1,3,2,1,13,22.84,1,2,0,2,7
25535,4,1.72,0,10,75,2.0,6.2,1,15,2019,1,2,1,29,0,1,0,1,2,0,1,10,33.15,1,2,0,4,8
3200,4,3.44,0,6,70,2.0,3.03,1,68,2017,2,2,4,26,0,0,0,0,1,2,2,20,24.12,3,2,0,4,10
25846,3,1.01,1,1,69,1.0,5.54,2,43,2019,1,1,1,26,0,1,0,1,3,2,1,9,27.08,3,1,0,3,7
13569,4,1.75,1,10,71,1.0,5.61,2,75,2018,2,2,1,30,1,1,0,1,2,1,2,10,30.6,1,1,0,4,8
23722,3,2.25,0,10,70,2.0,5.62,2,75,2019,1,2,1,24,1,1,0,1,3,1,2,7,26.91,2,1,0,1,6
7374,2,2.64,0,7,71,2.0,4.08,1,54,2017,1,1,1,27,0,0,0,2,4,3,2,6,23.23,2,1,0,4,7
20089,1,2.09,0,4,70,1.0,4.69,1,4,2018,1,3,1,24,0,1,1,2,3,2,1,0,26.45,3,1,0,2,6
7922,2,2.55,0,20,71,1.0,3.53,1,58,2017,1,2,1,30,1,0,0,2,3,3,1,35,29.12,1,1,0,4,6
25977,4,2.79,1,10,72,1.0,3.78,2,24,2019,1,2,4,24,0,1,0,1,2,2,2,22,24.48,2,0,0,4,8
8571,2,3.14,0,10,68,2.0,5.45,1,61,2017,1,2,1,24,1,0,0,1,3,3,2,13,23.56,1,1,0,2,6
23360,3,3.63,0,20,71,1.0,4.81,1,48,2019,1,2,1,24,0,0,1,0,4,0,3,10,29.94,1,1,0,3,4
24059,2,2.01,0,1,71,1.0,4.21,1,39,2019,2,2,2,22,1,0,1,1,3,1,2,24,24.9,3,3,0,3,7
346,3,2.79,1,11,68,2.0,2.44,1,65,2017,1,2,1,26,1,0,1,1,2,2,2,0,29.95,2,2,0,2,7
18225,3,2.91,1,10,69,1.0,5.1,2,75,2018,2,2,2,27,1,0,1,2,3,0,1,13,29.87,1,3,0,4,7
4177,3,2.08,0,14,72,1.0,3.1,1,37,2017,2,2,3,29,0,0,0,1,2,1,2,0,31.41,2,3,0,4,8
14642,2,3.39,1,5,70,1.0,3.34,1,5,2018,2,2,1,26,1,1,0,1,3,2,2,30,29.53,2,1,0,4,7
20085,1,3.66,0,10,70,1.0,4.42,2,83,2018,1,3,1,24,0,1,0,1,3,2,2,0,22.93,1,1,0,1,6
28507,3,3.14,0,9,70,1.0,4.49,1,53,2019,1,2,1,22,0,0,1,1,3,0,1,6,26.19,2,3,0,4,7
20028,4,3.53,0,10,73,1.0,2.06,1,72,2018,1,2,1,33,0,0,0,2,3,1,1,0,25.46,1,1,0,1,6
22425,2,2.98,1,10,68,1.0,4.25,1,48,2019,1,1,1,25,1,0,1,1,4,3,0,10,23.12,1,1,0,4,5
12378,3,3.11,1,10,70,1.0,4.05,1,66,2018,1,2,1,24,0,2,0,1,2,2,3,27,23.05,1,0,0,4,8
11135,4,2.3,1,9,72,2.0,3.93,2,36,2018,1,2,1,27,1,1,0,0,2,1,3,14,28.54,2,1,0,4,7
1764,2,2.2,0,10,71,1.0,3.82,1,21,2017,1,2,1,22,1,0,1,2,3,2,2,14,23.75,1,2,0,3,7
21981,2,2.29,0,9,71,1.0,3.95,2,18,2019,1,2,1,25,0,1,0,1,2,2,2,14,24.96,2,2,0,4,7
19048,3,2.25,1,10,71,2.0,5.27,2,50,2018,1,2,1,24,0,0,0,1,2,2,1,7,21.45,1,2,0,1,5
2157,3,3.16,1,10,71,1.0,4.02,2,30,2017,1,2,1,24,0,0,1,0,2,2,2,0,30.71,1,2,0,1,7
23664,3,2.97,1,5,73,2.0,4.55,0,71,2019,1,2,3,27,1,0,0,1,2,3,2,3,29.91,2,1,0,3,5
26473,3,1.38,0,5,70,1.0,5.89,2,5,2019,1,1,1,24,1,1,0,1,3,2,2,7,33.84,2,1,0,1,7
18903,4,1.99,0,8,69,1.0,3.81,1,39,2018,3,2,1,23,1,1,1,1,4,0,2,34,29.48,2,0,0,3,6
20767,6,2.87,0,10,72,1.0,4.97,1,26,2018,3,1,1,32,0,0,0,2,3,0,1,0,30.77,1,1,0,4,7
24173,3,3.13,1,6,72,1.0,4.33,1,6,2019,1,2,1,24,0,1,1,1,3,2,2,0,25.65,2,0,0,1,7
28169,2,1.9,0,10,71,1.0,5.28,2,75,2019,2,2,2,23,1,0,0,1,3,2,2,14,32.71,1,2,0,1,5
14262,3,4.1,0,10,71,1.0,3.52,1,15,2018,2,2,4,30,1,0,1,1,2,3,2,10,27.58,1,1,0,4,7
20428,2,3.0,0,10,73,1.0,3.6,2,58,2018,1,2,1,22,0,0,0,1,3,2,1,16,30.7,1,2,0,3,6
23104,3,2.29,0,10,70,1.0,5.89,2,30,2019,2,2,1,24,0,1,1,1,2,2,1,7,26.4,2,1,0,3,7
21703,3,1.79,1,10,73,1.0,4.39,1,75,2019,1,1,3,27,1,0,1,1,4,1,2,0,35.1,1,2,0,2,6
18998,3,4.84,0,7,71,1.0,3.48,1,32,2018,1,3,1,23,0,1,1,1,1,1,2,0,25.71,2,2,0,1,8
18082,3,2.22,1,10,72,1.0,4.63,2,83,2018,2,2,2,23,0,0,0,1,2,2,2,10,25.02,1,2,0,2,6
2015,5,2.28,0,10,70,2.0,3.4,1,60,2017,3,2,1,27,1,1,0,0,2,0,3,35,28.62,2,1,0,4,8
16132,3,4.01,1,10,68,1.0,5.06,1,28,2018,1,2,1,24,1,0,0,2,2,2,1,0,22.47,1,2,0,1,7
5888,4,2.92,1,10,69,2.0,3.78,2,68,2017,2,2,3,34,0,1,0,1,2,1,2,0,29.63,1,1,0,1,8
7820,3,2.91,1,10,72,1.0,4.47,1,94,2017,3,2,1,22,0,0,0,1,3,1,2,17,32.34,1,2,0,3,6
26337,4,1.09,1,10,72,2.0,5.87,2,67,2019,1,2,1,24,1,0,0,1,2,1,2,0,20.98,1,2,0,1,7
577,3,2.7,0,10,73,1.0,4.52,1,73,2017,1,3,1,24,0,1,0,1,3,1,2,0,24.28,1,0,0,1,6
11543,3,2.73,1,7,68,1.0,3.78,2,41,2018,1,2,1,24,0,0,1,2,2,2,1,27,24.74,3,2,0,4,7
16073,3,1.54,1,10,75,1.0,5.58,2,59,2018,2,3,2,28,0,0,1,0,2,1,2,17,20.1,1,2,0,3,7
13079,2,1.97,1,10,69,1.0,5.6,1,81,2018,3,2,1,23,0,0,1,1,3,2,1,19,30.55,1,2,0,4,6
17777,3,2.41,1,1,69,1.0,4.05,1,14,2018,2,3,3,22,0,1,0,0,1,1,5,24,29.95,3,2,0,4,8
24585,2,1.77,1,10,69,1.0,4.87,1,82,2019,1,2,1,29,0,0,1,2,3,2,1,17,29.35,1,2,0,2,7
27710,4,2.16,0,10,70,1.0,5.26,0,48,2019,1,1,1,31,0,0,1,1,4,2,2,3,21.15,2,0,0,3,6
15295,3,2.32,1,10,70,1.0,5.08,1,49,2018,2,3,4,27,0,0,1,2,2,1,1,35,21.55,1,2,0,4,7
2011,4,2.22,0,9,66,1.0,3.29,1,9,2017,3,4,1,22,1,0,0,0,2,0,3,35,25.27,1,1,0,4,6
11388,2,2.45,1,10,73,1.0,5.03,2,63,2018,1,2,1,25,1,0,1,1,2,3,2,0,21.86,1,2,0,1,8
18978,2,3.03,0,10,70,1.0,4.56,2,52,2018,1,2,1,24,1,1,1,1,2,3,2,17,31.25,1,1,0,3,7
13767,3,3.21,1,10,71,1.0,4.06,3,59,2018,2,3,1,25,0,1,1,1,1,3,2,14,30.55,1,0,0,2,8
21587,4,2.6,1,8,66,2.0,4.45,1,62,2019,1,2,1,36,1,0,0,1,3,2,2,0,23.67,2,0,0,1,6
6902,3,1.31,0,2,75,1.0,3.67,2,2,2017,2,2,2,27,0,0,0,0,2,2,3,0,29.1,1,2,0,1,7
829,1,3.33,0,15,66,1.0,4.79,1,46,2017,1,3,1,34,0,0,1,1,3,3,2,3,28.47,2,1,0,2,6
18986,2,3.25,0,10,73,2.0,4.87,1,91,2018,1,2,1,23,0,1,0,1,3,2,2,17,30.74,1,1,0,4,7
7607,3,1.99,0,10,75,2.0,4.34,2,63,2017,2,2,3,27,0,1,1,0,2,2,3,0,27.59,1,1,0,1,7
10920,3,1.31,1,1,73,1.0,3.04,2,7,2017,1,2,1,24,0,0,1,1,2,1,2,30,22.39,3,3,0,4,8
4690,2,2.23,0,2,68,1.0,3.43,1,65,2017,2,2,1,24,0,0,1,1,3,2,2,7,25.74,3,2,0,2,7
8247,3,2.33,1,10,68,2.0,4.28,1,53,2017,2,2,3,25,0,0,1,1,2,2,2,3,26.26,2,2,0,2,8
23377,3,2.09,0,10,71,1.0,4.14,2,70,2019,2,2,1,24,0,0,0,1,2,2,2,0,29.14,1,2,0,1,7
13546,4,3.16,1,10,72,2.0,4.78,1,75,2018,2,2,1,30,0,1,1,1,2,1,2,7,25.55,1,1,0,3,7
27338,3,2.94,0,13,70,2.0,5.34,3,89,2019,2,2,1,24,0,0,0,1,2,2,2,24,32.83,2,2,0,4,7
19170,3,2.69,1,10,72,2.0,4.9,1,62,2018,1,2,1,23,0,3,0,2,2,1,1,13,25.04,1,0,0,2,8
26530,4,2.98,1,10,72,1.0,5.26,1,48,2019,1,2,1,25,0,1,1,1,3,0,2,0,21.0,1,1,0,1,7
14260,3,2.35,0,10,71,1.0,4.38,2,32,2018,2,2,4,30,1,0,0,1,2,3,2,10,24.9,1,1,0,3,8
