,LineBackers,A,isHomeTeam,Distance,PlayerHeightInches,TimeSnapDiff,S,TightEnds,YardsToTouchdown,Season,TurfCode,Safeties,StadiumTypeCode,Age,IsPossTeamInLead,NoseTackles,isPlayDirectionLeft,Centers,Cornerbacks,DefensiveEnds,OffensiveGuards,HomeScoreBeforePlay,Y,Down,DefensiveTackles,isFirstDown,Quarter,DefendersInTheBox
102,4,0.89,1,10,72,1.0,6.41,2,75,2017,1,2,1,22,0,1,1,0,2,1,3,10,17.35,2,1,0,3,7
103,4,1.41,1,10,72,1.0,6.89,3,59,2017,1,2,1,22,0,1,1,0,2,1,3,10,37.04,1,1,0,3,7
104,4,2.63,0,10,68,1.0,6.57,2,80,2017,1,2,1,25,0,1,0,1,2,0,2,10,35.04,1,2,0,3,7
105,4,1.11,1,10,72,2.0,7.06,2,55,2017,1,2,1,22,0,1,1,0,2,2,3,10,23.07,1,0,0,3,8
106,4,1.35,1,5,72,2.0,5.04,1,50,2017,1,2,1,22,0,1,1,0,2,2,3,10,27.14,2,0,0,3,7
107,4,0.54,0,10,73,1.0,6.43,1,75,2017,1,2,1,24,0,1,0,1,2,0,2,10,29.33,1,2,0,3,7
108,4,0.86,0,9,68,1.0,4.24,1,74,2017,1,2,1,25,0,0,0,1,3,1,2,10,28.2,2,1,0,3,6
109,4,3.81,0,8,68,1.0,3.05,1,60,2017,1,2,1,25,0,0,0,1,3,1,2,10,28.56,2,1,0,3,6
110,4,3.31,0,20,68,1.0,4.3,2,20,2017,1,2,1,25,0,1,0,1,2,0,2,10,28.0,1,2,0,3,6
111,4,1.9,1,10,66,1.0,5.92,1,71,2017,1,2,1,22,1,1,1,0,2,1,3,10,23.51,1,1,0,3,6
112,2,2.73,1,13,66,1.0,1.85,1,74,2017,1,2,1,22,1,1,1,0,3,2,3,10,21.05,2,1,0,3,5
113,4,3.68,1,10,72,2.0,4.7,3,56,2017,1,3,1,22,1,1,1,0,1,1,3,10,23.15,1,1,0,3,9
114,4,1.06,0,10,68,1.0,5.13,1,35,2017,1,2,1,25,0,0,1,1,2,1,2,17,19.02,1,2,0,4,7
115,3,1.94,0,10,73,1.0,4.78,2,23,2017,1,2,1,24,0,1,1,1,3,1,2,17,28.44,1,1,0,4,6
117,4,2.4,1,10,73,1.0,5.32,1,63,2017,2,3,1,24,0,0,0,1,2,1,2,0,23.67,1,1,0,1,6
118,3,1.18,0,10,70,2.0,2.67,3,64,2017,2,2,1,26,0,0,1,1,2,2,2,0,28.16,1,2,0,1,7
120,3,2.94,0,10,70,1.0,3.72,2,48,2017,2,2,1,26,0,0,1,1,2,2,2,0,29.01,1,2,0,1,8
121,3,3.19,0,10,72,1.0,2.21,2,35,2017,2,2,1,26,0,0,1,1,2,2,2,0,24.49,1,2,0,1,8
122,2,3.13,0,10,68,1.0,4.2,2,11,2017,2,1,1,32,0,0,1,1,4,4,2,0,23.51,2,0,0,1,6
123,3,4.22,0,10,70,1.0,5.09,2,53,2017,2,2,1,26,0,0,1,1,2,2,2,0,28.58,1,2,0,1,7
124,4,1.43,1,7,73,1.0,3.72,1,39,2017,2,3,1,24,1,0,1,1,2,1,2,0,25.56,2,1,0,2,7
125,2,3.21,0,10,70,1.0,3.66,1,74,2017,2,1,1,26,0,0,0,1,4,3,2,0,29.39,2,1,0,2,6
126,4,2.5,1,10,73,2.0,3.01,1,60,2017,2,3,1,24,1,0,1,1,2,1,2,0,29.98,1,1,0,2,7
127,3,2.13,0,10,70,1.0,4.77,2,76,2017,2,2,1,26,0,0,0,1,2,2,2,0,33.41,1,2,0,2,7
129,3,3.48,0,10,72,2.0,3.53,2,51,2017,2,2,1,26,0,0,0,1,2,2,2,0,23.31,1,2,0,2,6
130,3,1.61,0,16,72,1.0,2.54,2,57,2017,2,2,1,26,0,0,0,1,2,2,2,0,23.28,1,2,0,2,6
132,2,2.8,0,10,72,1.0,3.62,1,63,2017,2,1,1,26,0,0,0,1,4,3,2,0,31.81,1,1,0,2,6
134,4,1.85,1,10,73,1.0,1.16,1,26,2017,2,3,1,24,1,0,0,2,2,0,1,0,22.32,1,2,0,3,7
135,4,2.75,1,10,73,1.0,2.74,1,14,2017,2,3,1,24,1,0,0,2,2,1,1,0,25.49,1,1,0,3,6
136,3,2.25,0,10,70,1.0,5.22,2,88,2017,2,2,1,26,0,0,1,1,2,2,2,0,20.0,1,2,0,3,7
137,3,2.31,0,3,70,1.0,3.31,2,81,2017,2,2,1,26,0,0,1,1,2,2,2,0,21.99,2,2,0,3,7
139,2,3.32,0,10,72,1.0,3.71,1,57,2017,2,2,1,26,0,0,1,1,3,2,2,0,23.92,1,2,0,3,6
140,3,2.69,0,4,72,1.0,3.14,2,51,2017,2,2,1,26,0,0,1,1,2,2,2,0,24.22,2,2,0,3,7
142,2,1.08,0,10,70,1.0,3.79,1,46,2017,2,2,1,26,0,0,1,1,3,2,2,0,25.6,1,2,0,3,6
143,2,2.68,0,8,72,1.0,4.26,2,44,2017,2,2,1,26,0,0,1,1,3,2,2,0,27.64,2,2,0,3,7
145,3,3.56,0,10,72,1.0,5.01,3,34,2017,2,2,1,26,0,0,1,1,2,2,2,0,20.77,1,2,0,3,8
146,3,2.41,0,10,70,1.0,3.07,2,34,2017,2,2,1,26,0,0,1,1,2,2,2,0,24.04,2,2,0,3,6
147,2,2.76,0,10,72,2.0,2.1,1,23,2017,2,2,1,26,0,0,1,1,3,2,2,0,21.33,1,2,0,3,6
148,3,2.8,0,3,72,1.0,4.11,1,16,2017,2,2,1,26,0,0,1,1,2,2,2,0,25.06,2,2,0,3,8
149,3,4.13,0,10,70,1.0,5.02,3,10,2017,2,2,1,26,0,0,1,1,2,2,2,0,33.24,2,2,0,3,7
151,3,2.51,0,10,70,2.0,2.42,2,74,2017,2,2,1,26,0,0,0,1,2,2,2,0,23.97,1,2,0,4,7
152,2,3.9,0,8,72,1.0,5.2,1,72,2017,2,2,1,26,0,0,0,1,3,2,2,0,29.68,2,2,0,4,7
153,2,2.46,0,16,72,0.0,2.04,0,80,2017,2,1,1,26,0,0,0,1,4,3,2,0,31.45,3,1,0,4,4
154,3,3.45,0,10,70,1.0,4.42,2,92,2017,2,2,1,26,0,0,0,1,2,2,2,0,25.88,1,2,0,4,6
155,3,2.63,0,11,70,1.0,3.36,2,93,2017,2,2,1,26,0,0,0,1,2,2,2,0,25.7,2,2,0,4,7
156,2,2.0,0,3,72,1.0,2.38,1,85,2017,2,2,1,26,0,0,0,1,3,2,2,0,21.62,3,2,0,4,7
157,3,1.9,0,10,72,1.0,2.68,2,86,2017,2,2,1,26,0,0,0,1,2,2,2,0,28.82,1,2,0,4,8
158,3,3.39,0,11,72,1.0,4.42,2,87,2017,2,2,1,26,0,0,0,1,2,2,2,0,27.62,2,2,0,4,8
159,2,3.0,0,9,72,1.0,3.28,1,85,2017,2,1,1,26,0,0,0,1,4,3,2,0,26.37,3,1,0,4,6
160,3,1.55,0,10,72,2.0,3.79,2,56,2017,2,2,1,26,0,0,0,1,2,2,2,0,26.66,1,2,0,4,8
161,3,2.47,0,12,72,1.0,4.09,2,58,2017,2,2,1,26,0,0,0,1,2,2,2,0,31.8,2,2,0,4,8
162,3,2.94,0,5,72,1.0,4.45,2,51,2017,2,2,1,26,0,0,0,1,2,2,2,0,28.25,3,2,0,4,8
163,4,3.61,1,9,71,1.0,4.27,3,74,2017,1,2,1,24,0,1,0,0,2,1,2,0,23.27,2,1,0,1,6
164,4,3.02,1,10,71,1.0,4.05,2,75,2017,1,2,1,24,1,1,0,0,2,1,2,0,25.65,1,1,0,1,7
165,4,3.74,1,5,71,1.0,4.93,1,70,2017,1,2,1,24,1,1,0,0,2,1,2,0,22.97,2,1,0,1,6
166,4,2.14,1,12,71,1.0,3.26,1,77,2017,1,2,1,24,1,0,0,0,3,1,2,0,23.32,2,1,0,1,6
167,4,2.14,1,10,71,2.0,4.11,1,68,2017,1,2,1,24,1,0,0,0,3,1,2,0,33.21,1,1,0,1,7
168,4,3.49,1,10,71,1.0,3.83,1,52,2017,1,2,1,24,1,1,0,0,3,1,2,0,23.49,1,0,0,1,6
170,4,0.82,1,10,71,1.0,3.29,1,31,2017,1,2,1,24,1,1,0,0,3,1,2,0,26.7,1,0,0,1,6
171,3,2.68,1,3,71,1.0,3.41,1,3,2017,1,2,1,24,1,1,0,0,2,2,2,0,23.02,1,1,0,1,8
172,4,1.71,0,10,73,1.0,3.18,2,75,2017,1,2,1,25,0,0,1,1,2,1,2,7,28.14,2,2,0,1,6
173,4,2.11,0,15,73,1.0,0.8,1,61,2017,1,2,1,25,0,0,0,1,3,1,2,7,21.69,2,1,0,2,5
174,4,1.9,1,10,71,1.0,2.93,1,60,2017,1,2,1,24,0,0,1,0,3,1,2,7,26.23,1,1,0,2,6
175,4,2.29,0,10,73,1.0,3.59,2,94,2017,1,2,1,22,0,0,0,1,2,1,2,7,22.92,1,2,0,2,7
176,4,1.27,0,1,73,2.0,3.44,1,79,2017,1,2,1,25,0,0,0,1,3,1,2,7,28.41,3,1,0,2,7
177,4,4.11,1,10,71,1.0,4.99,1,41,2017,1,2,1,24,0,1,1,0,2,1,2,7,26.24,1,1,0,2,7
178,4,2.45,1,10,71,1.0,2.59,1,64,2017,1,2,1,24,0,0,1,0,3,1,2,7,30.59,1,1,0,2,6
179,4,2.44,1,9,71,1.0,2.85,1,63,2017,1,2,1,24,0,0,1,0,3,1,2,7,23.13,2,1,0,2,6
180,4,2.64,0,9,73,1.0,3.31,1,9,2017,1,2,1,25,0,0,0,1,3,1,2,7,25.05,2,1,0,2,6
181,4,1.98,1,10,69,1.0,4.05,1,89,2017,1,2,1,23,1,0,1,0,3,1,2,7,21.05,1,1,0,2,7
182,4,2.87,1,10,71,1.0,2.59,2,36,2017,1,2,1,24,1,1,0,0,2,1,2,7,23.38,1,1,0,3,6
183,4,2.7,1,10,71,1.0,3.52,1,11,2017,1,2,1,24,1,1,0,0,2,1,2,7,29.96,1,1,0,3,6
184,4,2.8,0,10,73,1.0,3.14,1,61,2017,1,1,1,25,0,0,1,1,3,1,2,10,27.95,1,2,0,3,5
185,5,2.06,0,8,73,1.0,1.59,1,8,2017,1,1,1,25,0,0,1,1,3,0,2,10,31.97,1,2,0,3,6
186,5,2.83,0,7,73,1.0,3.08,1,7,2017,1,1,1,25,0,0,1,1,3,0,2,10,27.72,2,2,0,3,5
187,4,2.58,1,10,71,1.0,2.79,1,50,2017,1,2,1,24,1,1,0,0,3,0,2,10,23.18,1,1,0,3,6
188,4,3.08,0,8,73,1.0,2.54,1,64,2017,1,1,1,22,0,0,1,1,3,1,2,10,21.95,2,2,0,3,5
189,4,3.52,0,10,73,1.0,3.53,1,50,2017,1,1,1,22,0,0,0,1,3,1,2,10,28.01,1,2,0,4,5
190,4,2.02,0,10,73,1.0,2.12,1,30,2017,1,1,1,22,0,0,0,1,3,1,2,10,28.3,1,2,0,4,5
191,4,2.81,0,10,73,1.0,3.09,2,76,2017,1,2,1,25,0,0,0,1,2,1,2,10,27.86,1,2,0,4,6
192,4,3.37,1,10,69,2.0,4.18,1,11,2017,1,2,1,23,1,0,1,0,3,2,2,10,27.61,1,0,0,4,6
194,2,2.23,0,6,73,1.0,3.65,1,73,2017,2,3,2,25,0,0,1,1,2,1,2,0,28.66,2,3,0,1,6
195,3,2.28,0,10,73,1.0,3.12,2,56,2017,2,2,2,25,0,0,1,1,2,1,2,0,30.62,1,3,0,1,7
196,4,4.26,1,10,69,1.0,5.86,2,26,2017,2,2,2,24,0,0,0,2,2,1,1,0,27.81,1,2,0,1,6
197,4,3.9,1,10,69,1.0,5.34,1,85,2017,2,3,2,24,1,0,0,2,2,0,1,0,20.56,1,2,0,1,7
198,3,2.61,0,7,73,1.0,3.86,2,64,2017,2,2,2,25,0,0,1,1,2,2,2,0,28.52,2,2,0,1,7
199,3,1.02,0,1,73,2.0,3.34,2,58,2017,2,2,2,25,0,0,1,1,2,2,2,0,24.95,3,2,0,1,8
200,3,2.01,0,10,73,1.0,3.54,2,13,2017,2,2,2,25,0,0,1,1,2,1,2,0,25.27,1,3,0,1,7
201,2,2.93,0,3,73,1.0,3.15,1,3,2017,2,3,2,25,0,0,1,1,2,1,2,0,31.42,2,3,0,1,7
202,4,2.16,1,10,69,1.0,2.8,1,93,2017,2,3,2,24,1,0,0,2,2,0,1,0,20.84,1,2,0,1,6
203,4,0.59,1,10,69,2.0,4.14,1,83,2017,2,3,2,26,1,0,0,2,2,0,1,0,20.46,1,2,0,1,7
204,3,3.01,1,10,69,1.0,3.52,1,62,2017,2,3,2,24,1,0,1,2,2,1,1,0,28.1,1,2,0,2,6
205,1,2.18,0,10,73,1.0,3.18,0,78,2017,2,4,2,25,0,0,0,1,2,2,2,0,29.81,2,2,0,2,5
206,4,3.05,1,20,69,1.0,2.8,1,52,2017,2,3,2,24,1,0,1,2,2,0,1,0,27.41,1,2,0,2,6
207,4,3.15,1,10,73,1.0,3.31,1,29,2017,2,3,2,23,1,0,1,2,2,1,1,0,24.79,1,1,0,2,6
208,4,3.54,1,4,69,1.0,3.94,1,13,2017,2,3,2,24,1,0,1,2,2,1,1,0,25.43,2,1,0,2,6
210,4,2.67,1,4,69,1.0,3.56,1,4,2017,2,3,2,24,1,0,1,2,2,0,1,0,28.46,1,2,0,2,7
211,4,1.85,1,10,69,1.0,4.6,2,62,2017,2,2,2,24,1,0,1,2,2,1,1,6,25.6,1,2,0,2,8
212,2,1.92,0,10,73,1.0,1.52,1,26,2017,2,3,2,25,0,0,0,1,2,2,2,6,32.55,2,2,0,2,6
213,3,2.37,1,10,73,2.0,3.59,2,75,2017,2,3,2,23,1,0,1,2,2,1,1,9,28.96,1,2,0,3,6
214,4,2.15,1,10,69,1.0,1.8,1,60,2017,2,3,2,24,1,0,1,2,2,0,1,9,31.89,1,2,0,3,6
215,2,2.99,0,10,73,1.0,3.71,1,94,2017,2,3,2,25,0,0,0,1,2,1,2,9,25.34,1,3,0,3,6
216,2,2.83,0,10,68,1.0,3.84,1,75,2017,2,3,2,26,0,0,0,1,2,1,2,9,28.48,1,3,0,3,6
218,4,3.11,1,10,69,1.0,3.84,1,53,2017,2,3,2,24,1,0,1,2,2,0,1,9,31.14,1,2,0,3,7
219,2,2.73,0,10,73,1.0,3.87,1,79,2017,2,3,2,25,0,0,0,1,2,2,2,9,28.13,1,2,0,3,6
220,3,3.31,1,10,73,1.0,4.41,1,10,2017,2,3,2,23,1,0,1,2,2,1,1,9,27.17,1,2,0,3,6
221,2,2.47,0,2,68,2.0,3.76,1,67,2017,2,3,2,26,0,0,0,1,2,2,2,15,27.69,2,2,0,3,6
223,2,1.73,0,15,68,1.0,3.11,1,70,2017,2,3,2,26,0,0,0,1,2,1,2,15,30.72,1,3,0,3,7
224,4,3.77,1,10,69,1.0,5.56,2,34,2017,2,2,2,24,1,0,0,2,2,1,1,15,20.19,1,2,0,4,6
225,4,3.8,1,10,69,1.0,5.27,1,14,2017,2,3,2,24,1,0,0,2,2,0,1,15,33.02,1,2,0,4,7
226,3,3.73,1,8,69,1.0,4.99,1,8,2017,2,3,2,24,1,0,0,2,2,1,1,15,26.99,1,2,0,4,6
227,4,3.11,1,10,69,1.0,3.87,2,72,2017,2,2,2,24,0,0,0,2,2,1,1,21,22.01,1,2,0,4,6
229,4,3.47,1,10,73,2.0,5.11,3,44,2017,2,2,2,23,0,0,0,2,2,1,1,35,26.86,1,2,0,4,8
230,4,1.87,1,4,73,1.0,4.12,3,38,2017,2,2,2,23,0,0,0,2,2,1,1,35,26.52,2,2,0,4,8
231,3,2.34,0,15,72,1.0,3.9,2,80,2017,2,2,4,22,0,0,1,1,2,3,2,0,28.9,1,1,0,1,8
232,3,2.03,0,11,72,1.0,5.08,1,76,2017,2,2,4,22,0,0,1,1,2,3,2,0,24.54,2,1,0,1,7
233,3,3.07,1,10,70,1.0,5.67,3,75,2017,2,2,4,26,1,1,0,1,2,2,2,0,33.58,1,1,0,1,8
234,3,2.5,0,10,72,2.0,3.81,2,62,2017,2,2,4,22,0,0,1,1,2,3,2,0,28.34,1,1,0,1,8
235,3,2.95,0,7,72,1.0,4.52,2,59,2017,2,2,4,22,0,0,1,1,2,3,2,0,28.27,2,1,0,1,8
236,2,3.48,1,10,70,1.0,4.25,2,80,2017,2,2,4,23,1,1,0,1,3,2,2,0,31.6,1,1,0,1,7
237,2,3.02,1,10,70,1.0,4.88,2,66,2017,2,2,4,26,1,1,0,1,3,2,2,0,26.69,1,1,0,1,7
238,3,4.1,1,4,70,1.0,5.82,2,60,2017,2,2,4,26,1,1,0,1,2,2,2,0,33.49,2,1,0,1,7
239,3,1.98,1,10,70,1.0,3.04,2,50,2017,2,2,4,26,1,0,0,1,2,2,2,0,28.04,1,2,0,1,8
241,3,2.33,0,10,72,1.0,4.3,2,61,2017,2,2,4,22,0,0,1,1,2,1,2,0,24.81,1,3,0,1,8
243,2,3.12,0,20,72,0.0,2.94,1,30,2017,2,2,4,29,0,0,1,1,3,3,2,0,28.89,1,1,0,1,7
244,3,2.18,0,9,72,1.0,2.89,1,9,2017,2,2,4,22,0,0,1,1,3,2,2,0,28.81,1,1,0,1,7
245,3,3.57,0,10,72,1.0,3.7,1,10,2017,2,2,4,22,0,0,1,1,3,2,2,0,31.72,2,1,0,1,7
246,3,1.95,1,10,70,1.0,3.13,1,70,2017,2,2,4,23,1,1,1,1,3,1,2,0,23.72,1,1,0,2,6
